#word	Word1_mean Word1_std Word2_mean Word2_std Cpd_mean Cpd_std mean1*mean2
kangaroo-n court-n	0.166667 0.372678 4.428571 1.015191 1.366667 1.048279 0.738097
ground-n floor-n	4.655172 0.657889 4.700000 0.781025 4.666667 0.596285 21.879308
rat-n run-n	0.413793 0.616846 2.333333 1.398412 0.793103 0.663289 0.965517
law-n firm-n	4.724138 0.518390 3.892857 1.496169 4.400000 0.757188 18.390394
polo-n shirt-n	1.733333 1.412641 5.000000 0.000000 3.366667 1.378002 8.666665
ivory-n tower-n	0.379310 1.031029 0.535714 0.680449 0.464286 0.680449 0.203202
lip-n service-n	2.033333 1.251222 1.750000 1.404711 1.620690 1.063948 3.558333
health-n insurance-n	4.533333 0.884433 4.833333 0.582142 4.400000 1.171893 21.911108
couch-n potato-n	3.269231 1.482142 0.344828 0.657889 1.413793 1.034483 1.127322
chain-n reaction-n	2.407407 1.162987 4.517241 0.724958 2.931034 1.142624 10.874838
silver-n bullet-n	0.518519 0.995187 0.551724 1.101291 0.666667 1.154701 0.286079
graduate-n student-n	4.700000 0.458258 5.000000 0.000000 4.900000 0.300000 23.500000
cloud-n nine-n	0.466667 0.618241 0.233333 0.422953 0.333333 0.537484 0.108889
front-n runner-n	3.965517 0.964285 1.285714 1.097307 2.655172 1.320289 5.098521
agony-n aunt-n	1.862069 1.224017 0.433333 0.558768 0.758621 0.857228 0.806896
rock-n bottom-n	0.740741 0.885797 3.800000 1.077033 2.142857 1.186661 2.814816
acid-n test-n	0.714286 1.097307 3.896552 1.241379 1.222222 1.257079 2.783253
climate-n change-n	4.896552 0.304543 4.827586 0.377740 4.965517 0.182466 23.638526
lotus-n position-n	1.111111 1.165343 4.777778 0.415740 2.482759 1.221099 5.308642
sitting-n duck-n	1.482759 1.476732 0.413793 0.670421 0.960000 1.038460 0.613555
car-n park-n	4.896552 0.402135 4.000000 1.095445 4.200000 1.045626 19.586208
gold-n mine-n	1.379310 1.424267 0.703704 0.808053 0.814815 0.818175 0.970626
gravy-n train-n	0.296296 0.456623 0.448276 0.769514 0.310345 0.593264 0.132822
case-n study-n	3.655172 1.122677 4.666667 0.471405 3.700000 0.971253 17.057471
night-n owl-n	4.466667 0.884433 0.500000 0.823754 1.925926 1.274419 2.233334
pecking-n order-n	0.777778 0.916246 3.888889 1.396645 1.689655 0.875074 3.024692
eye-n candy-n	3.827586 1.052713 0.714286 0.749149 1.482759 1.102370 2.733991
nest-n egg-n	0.785714 0.976771 0.500000 0.866025 0.777778 0.874890 0.392857
role-n model-n	3.551724 1.220125 4.000000 1.032796 4.111111 1.065740 14.206896
fashion-n plate-n	4.413793 1.067296 3.307692 2.071217 3.896552 1.422597 14.599468
crocodile-n tear-n	0.185185 0.474305 3.785714 1.047348 1.250000 1.089725 0.701057
rat-n race-n	0.250000 0.508850 2.035714 1.322393 0.857143 0.989743 0.508929
crash-n course-n	0.964286 0.944236 4.233333 0.919541 2.142857 1.273754 4.082144
rocket-n science-n	0.642857 0.971534 1.551724 1.404088 1.428571 1.347712 0.997537
memory-n lane-n	4.750000 0.508850 0.714286 0.795395 2.166667 1.035482 3.392858
smoking-n jacket-n	1.035714 0.822980 4.896552 0.304543 2.320000 1.287478 5.071427
interest-n rate-n	4.344828 0.992241 4.689655 0.531974 4.571429 0.903508 20.375744
engine-n room-n	4.862069 0.344828 5.000000 0.000000 4.931034 0.253395 24.310345
blame-n game-n	4.607143 0.672909 2.000000 1.281740 2.720000 0.917388 9.214286
brass-n ring-n	3.733333 1.948219 3.866667 1.978776 3.724138 1.836349 14.435556
panda-n car-n	0.500000 0.562731 4.655172 1.152983 1.807692 1.074861 2.327586
research-n project-n	4.900000 0.300000 4.533333 0.956847 4.821429 0.382993 22.213332
call-n centre-n	4.733333 0.442217 4.413793 0.720021 4.655172 0.657889 20.891952
graveyard-n shift-n	0.379310 0.611036 4.500000 0.718795 1.518519 1.166520 1.706895
credit-n card-n	4.666667 0.537484 4.896552 0.304543 4.666667 0.699206 22.850578
cheat-n sheet-n	2.300000 1.594783 4.000000 0.830455 2.892857 1.112888 9.200000
parking-n lot-n	4.833333 0.372678 4.766667 0.495536 4.700000 0.640312 23.038889
fine-n line-n	3.172414 1.340843 2.033333 1.516209 2.689655 1.206404 6.450574
brick-n wall-n	3.160000 2.203270 3.533333 1.857118 3.793103 1.749469 11.165332
speed-n limit-n	4.933333 0.249444 4.827586 0.377740 4.827586 0.460057 23.816089
swimming-n pool-n	4.800000 0.400000 4.900000 0.300000 4.866667 0.339935 23.520000
bank-n account-n	4.866667 0.339935 4.827586 0.460057 4.733333 0.442217 23.494253
